,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,Hongjiang,27.11,109.9956,52.57,71,98,0.78
1,Mataura,-46.1927,168.8643,55.99,95,77,1.01
2,Longyearbyen,78.2186,15.6401,15.8,73,75,23.02
3,Ostrovnoy,68.0531,39.5131,11.89,93,89,10.27
4,Rikitea,-23.1203,-134.9692,80.01,75,6,12.17
5,Ushuaia,-54.8,-68.3,51.8,62,20,20.71
6,Tuktoyaktuk,69.4541,-133.0374,-7.6,77,1,13.8
7,Saskylakh,71.9167,114.0833,-42.97,100,71,5.48
8,Tasiilaq,65.6145,-37.6368,23.0,63,90,8.05
9,El Tigre,8.8875,-64.2454,82.56,53,100,13.44
10,Hasaki,35.7333,140.8333,46.4,71,20,5.75
11,Katsuura,35.1333,140.3,51.01,49,20,8.05
12,Kapaa,22.0752,-159.319,77.0,60,75,8.05
13,Sitka,57.0531,-135.33,39.2,81,90,8.05
14,Busselton,-33.65,115.3333,53.01,89,44,7.45
15,Provideniya,64.3833,-173.3,5.0,66,0,5.7
16,Bethel,41.3712,-73.414,55.4,35,1,6.91
17,Cockburn Town,21.4612,-71.1419,78.8,69,20,6.91
18,Port Elizabeth,-33.918,25.5701,59.0,94,40,5.08
19,Shingū,33.7333,135.9833,44.6,70,20,3.44
20,Arraial do Cabo,-22.9661,-42.0278,76.86,88,7,7.23
21,Punta Arenas,-53.15,-70.9167,55.4,62,75,10.36
22,Dukat,62.55,155.55,5.45,94,100,8.7
23,Avarua,-21.2078,-159.775,84.2,79,39,6.91
24,Selikhino,50.3672,137.4996,23.74,87,93,12.64
25,Karratha,-20.7377,116.8463,81.14,65,6,3.11
26,Vaini,-21.2,-175.2,80.6,78,75,8.05
27,East London,-33.0153,27.9116,67.3,76,90,7.34
28,Mar del Plata,-38.0023,-57.5575,66.0,88,48,6.91
29,Castro,-24.7911,-50.0119,65.93,90,82,1.23
30,Khatanga,71.9667,102.5,-19.62,82,98,7.49
31,Esperance,-33.8667,121.9,60.8,72,90,11.5
32,Dauphin,51.1494,-100.0502,32.0,100,90,3.44
33,Aklavik,68.2191,-135.0107,6.8,56,1,16.11
34,Kiryat Gat,31.61,34.7642,79.0,41,94,4.0
35,Bredasdorp,-34.5322,20.0403,66.2,72,1,12.66
36,Bluff,-46.6,168.3333,55.99,95,55,1.01
37,Kasane,-17.8167,25.15,65.5,82,51,2.01
38,Hilo,19.7297,-155.09,78.8,65,90,14.97
39,Uchiza,-8.4592,-76.4633,73.63,92,99,1.45
40,Gijang,35.2442,129.2139,44.6,45,0,1.14
41,Ribeira Grande,38.5167,-28.7,57.36,80,100,24.4
42,Airai,-8.9266,125.4092,65.25,79,100,0.34
43,Amapá,1.0,-52.0,72.86,96,91,3.58
44,Deputatsky,69.3,139.9,-16.74,98,92,2.42
45,Seymchan,62.8833,152.4333,7.56,93,100,16.64
46,Dubbo,-32.25,148.6167,66.2,94,90,13.8
47,Albany,42.6001,-73.9662,64.4,20,1,6.91
48,Jamestown,42.097,-79.2353,62.6,14,1,5.61
49,Mount Gambier,-37.8333,140.7667,68.0,77,40,4.61
50,Bengkulu,-3.8004,102.2655,75.0,91,100,5.23
51,Le Port,-20.9373,55.2919,77.0,88,75,6.91
52,Alpena,45.0617,-83.4327,54.0,43,90,17.27
53,Tautira,-17.7333,-149.15,86.0,70,40,11.5
54,Saint-Philippe,-21.3585,55.7679,78.8,78,40,5.75
55,San Patricio,28.017,-97.5169,77.0,68,90,27.63
56,Alice Springs,-23.7,133.8833,68.0,94,90,5.75
57,Butaritari,3.0707,172.7902,81.25,79,88,19.75
58,Padang,-0.9492,100.3543,73.4,94,20,3.44
59,Bathsheba,13.2167,-59.5167,78.8,57,40,18.41
60,Puri,19.8,85.85,78.8,100,75,9.24
61,Carnarvon,-24.8667,113.6333,73.4,78,40,18.41
62,Zhezkazgan,47.8043,67.7144,29.68,97,100,23.6
63,Boshnyakovo,49.6333,142.1667,26.15,75,36,2.28
64,Torbay,47.6666,-52.7314,41.0,56,40,25.32
65,Oktyabr'skoye,43.0645,44.7417,32.0,100,100,8.95
66,Bitung,1.4451,125.1824,77.0,94,40,6.78
67,Staszów,50.5631,21.1659,32.0,62,24,4.0
68,Berlevåg,70.8578,29.0864,21.2,86,100,31.07
69,Bandarbeyla,9.4942,50.8122,76.21,60,4,8.3
70,Thompson,55.7435,-97.8558,23.0,63,75,11.5
71,Nichinan,31.6,131.3667,50.0,53,20,5.75
72,San Jose,37.3394,-121.895,64.0,45,40,16.11
73,Kieta,-6.2167,155.6333,85.03,68,99,2.82
74,Mahibadhoo,3.7833,72.9667,82.4,71,21,3.62
75,Korla,41.7597,86.1469,46.74,39,92,4.74
76,Yushala,57.0761,64.2601,12.2,73,0,11.18
77,Baracoa,20.3467,-74.4958,75.72,81,27,3.91
78,Clyde River,70.4692,-68.5914,-22.0,63,20,13.8
79,Cape Town,-33.9258,18.4232,66.99,68,0,13.8
80,Hamilton,39.1834,-84.5333,68.0,34,20,8.05
81,Saint George,37.1041,-113.5841,62.01,20,1,16.11
82,Laas,46.6166,10.7002,48.2,69,40,9.22
83,Aksu,41.1231,80.2644,48.47,37,100,5.91
84,Tiksi,71.6872,128.8694,-19.19,98,100,6.22
85,Brest,52.1,23.7,31.69,82,48,10.96
